1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
19381,Boots,Armor,Leather,Boots of the Shadow Flame,83,60,Epic,https://tbc.wowhead.com/item=19381,NA,65.944,33.598,32.38,92.8,4.4,0,74,74,0,0,108,323.1208,0,0,0.418,1.474,39.94,19.4332,0,0,77.68,0,22,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,310,NA,NA,NA,NA,Classic,NA,0,NA,NA,52.344,12.578,19.58,44,4.4,0,44,44,0,0,78,263.6168,0,0,0.418,1.474,37.94,13.4332,0,0,44,0
21600,Boots,Armor,Cloth,Boots of Epiphany,81,60,Epic,https://tbc.wowhead.com/item=21600,NA,22.224,0,0,0,32.632,35.178,0,0,5.7,41.22,0,100.821,30.452,51.21,36.893,50.457,46.7,4.0528,9.5,39.51,17.581,9.12,18,19,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,96,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21860,Boots,Armor,Cloth,Imbued Netherweave Boots,109,69,Rare,https://tbc.wowhead.com/item=21860,NA,34.488,0,0,0,58.944,24.302,0,0,10.3,35.62,0,139.0176,26.689,38.96,29.713,41.933,50.3,2.7416,16.5,30.13,12.667,22.08,30,21,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,102,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21867,Boots,Armor,Cloth,Arcanoweave Boots,114,70,Rare,https://tbc.wowhead.com/item=21867,NA,43.664,0,0,0,7.8,0,0,0,0,0,0,167.4149,0,0,0.741,2.613,40.4,0,0,0,0,0,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,106,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21870,Boots,Armor,Cloth,Frozen Shadoweave Boots (Shadow/Frost),105,70,Epic,https://tbc.wowhead.com/item=21870,"Priest, Mage, Warlock",44.368,20,20.4,48.8,48.13,81.558,29.1,28.75,46.7,84.42,70,177.8744,50.571,102.78,78.914,101.648,82,21.5684,48.5,74.29,53.063,31.94,15,9,NULL,NULL,NULL,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Blue,NA,122,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22420,Boots,Armor,Plate,Dreadnaught Sabatons,86,60,Epic,https://tbc.wowhead.com/item=22420,Warrior,79.786,15,14.4,16.5,6.8,0,0,0,0,0,33.99,535.0172,0,0,0.646,2.278,81.16,11.0805,0,0,33,0,34,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,12,NULL,13,NULL,NULL,NA,NA,NA,756,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22430,Boots,Armor,Plate,Redemption Boots,86,60,Epic,https://tbc.wowhead.com/item=22430,Paladin,55.334,0,0,0,100.435,3.629,0,0,49.9,18.14,0,442.7506,16.962,22.784,15.584,22.414,59.4,0,62.17,16.79,4.986,67.38,22,18,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,14,NULL,NULL,NULL,NULL,NULL,5,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,756,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30683,Boots,Armor,Plate,Glider's Greaves of the Champion,115,70,Epic,https://tbc.wowhead.com/item=30683/gliders-greaves,NA,108.444,29,27.84,31.9,8.6,0,0,0,0,0,65.714,711.7108,0,0,0.817,2.881,100.846,21.4223,0,0,63.8,0,43,NULL,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,29,NULL,NULL,NA,NA,NA,997,NA,NA,NA,NA,Karazhan,Shadikith the Glider,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30681,Boots,Armor,Leather,Glider's Boots of the Tiger,115,70,Epic,https://tbc.wowhead.com/item=30681/gliders-boots,NA,51.478,62.049,62.9,122.47,0,0,75.85,192.77,0,0,213.342,348.0518,0,0,0,0,24.488,48.8918,0,0,134.902,0,NULL,NULL,37,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,250,NA,NA,NA,NA,Karazhan,Shadikith the Glider,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30681,Boots,Armor,Leather,Glider's Boots of the Bandit,115,70,Epic,https://tbc.wowhead.com/item=30681/gliders-boots,NA,82.217,45.994,47.27,122.09,8.6,0,117.45,209.09,0,0,159.5,418.2413,0,0,0.817,2.881,63.38,34.6057,0,0,99.934,0,43,NULL,29,NULL,NULL,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,250,NA,NA,NA,NA,Karazhan,Shadikith the Glider,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30680,Boots,Armor,Cloth,Glider's Foot-Wraps of the Prophet,115,70,Epic,https://tbc.wowhead.com/item=30680/gliders-foot-wraps,NA,5.896,0,0,0,161.005,4.988,0,0,81.4,20.88,0,67.0402,24.911,15.37,8.149,13.833,9.6,0,78.5,8.41,4.234,77.92,NULL,29,NULL,NULL,29,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,134,NA,NA,NA,NA,Karazhan,Shadikith the Glider,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
