1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
19376,Finger,Armor,Ring,Archimtiros' Ring of Reckoning,83,60,Epic,https://tbc.wowhead.com/item=19376,NA,35.714,9.478,8.12,30.66,5.6,0,28.7,72.94,0,0,43.96,134.7668,0,0,0.532,1.876,29.4,8.1578,0,0,20.244,0,28,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19382,Finger,Armor,Ring,Pure Elementium Band,83,60,Epic,https://tbc.wowhead.com/item=19382,NA,9,0,0,0,88.25,1.72,0,0,59,7.2,0,26.3961,8.59,5.3,2.981,5.373,9.1,0,58,2.9,1.46,57.8,9,10,NULL,NULL,10,NULL,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19384,Finger,Armor,Ring,Master Dragonslayer's Ring,83,60,Epic,https://tbc.wowhead.com/item=19384,NA,34.638,28.616,22.54,72.2,2.8,0,63,63,0,0,78.1,118.8126,0,0,0.266,0.938,16.48,17.6544,0,0,64.84,0,14,NULL,NULL,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,27.838,18.106,17.04,48,2.8,0,48,48,0,0,63.1,89.0606,0,0,0.266,0.938,15.48,14.6544,0,0,48,0
21596,Finger,Armor,Ring,Ring of the Godslayer,88,60,Epic,https://tbc.wowhead.com/item=21596,NA,34.057,26.034,21.41,71.99,3.4,0,69.05,135.41,0,0,91.94,154.8277,0,0,0.323,1.139,23.16,20.1745,0,0,56.366,0,17,NULL,21,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21601,Finger,Armor,Ring,Ring of Emperor Vek'lor,81,60,Epic,https://tbc.wowhead.com/item=21601,NA,30.821,8.124,6.96,26.28,3.6,0,24.6,62.52,0,0,37.68,113.556363636364,0,0,0.342,1.206,28.4,6.9924,0,0,17.352,0,18,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,9,NULL,NULL,NA,NA,NA,100,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21709,Finger,Armor,Ring,Ring of the Fallen God,88,60,Epic,https://tbc.wowhead.com/item=21709,NA,5.184,0,0,0,10.168,43.5256,0,0,1.8,48.88,0,14.6645,26.197,59.95,47.347,59.251,31,4.4104,3,41.46,25.362,2.88,5,6,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,5.184,-0.184,0,0,10.168,37.372,0,0,1.8,39.28,0,14.6645,24.245,47.95,35.747,46.931,31,4.4104,3,38.74,17.738,2.88
22939,Finger,Armor,Ring,Band of Unanswered Prayers,83,60,Epic,https://tbc.wowhead.com/item=22939,NA,11,0,0,0,91.812,2.002,0,0,57.9,8.26,0,32.2619,9.702,5.83,3.3,5.984,11,0,56.5,3.19,1.657,56.28,11,11,NULL,NULL,12,NULL,NULL,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Anub'Rekhan,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22961,Finger,Armor,Ring,Band of Reanimation,83,60,Epic,https://tbc.wowhead.com/item=22961,NA,21.828,35.801,29.09,94.18,0,0,91.1,160.62,0,0,115.08,128.7288,0,0,0,0,9.36,26.8632,0,0,77.812,0,NULL,NULL,22,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Patchwerk,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23018,Finger,Armor,Ring,Signet of the Fallen Defender,83,60,Epic,https://tbc.wowhead.com/item=23018,NA,40.67,6.8,5.5,24.2,4.8,0,15,15,0,0,30.1,112.876509090909,0,0,0.456,1.608,29.6,3,0,0,16.84,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,140,NA,NA,NA,NA,Naxxramas,Instructor Razuvious,1,NA,NA,33.87,-3.71,0,0,4.8,0,0,0,0,0,15.1,83.1245090909091,0,0,0.456,1.608,28.6,0,0,0,0,0
