1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
21581,Hands,Armor,Plate,Gauntlets of Annihilation,88,60,Epic,https://tbc.wowhead.com/item=21581,NA,82.277,54.68,43.86,86.78,3,0,36.7,38.1,0,0,144.49,530.7989,0,0,0.285,1.005,52.54,37.2517,0,0,114.686,0,15,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,10,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,702,NA,NA,NA,NA,Classic,NA,0,NA,NA,75.477,44.17,38.36,62.58,3,0,21.7,23.1,0,0,129.49,501.0469,0,0,0.285,1.005,51.54,34.2517,0,0,97.846,0
21585,Hands,Armor,Cloth,Dark Storm Gauntlets,88,60,Epic,https://tbc.wowhead.com/item=21585,NA,23.364,0,0,0,26.72,44.0836,0,0,4.5,52.3,0,103.2536,31.651,64.72,50.142,64.482,49.25,4.4104,7.5,44.07,26.217,7.2,19,15,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,95,NA,NA,NA,NA,Classic,NA,0,NA,NA,23.364,-0.184,0,0,26.72,37.93,0,0,4.5,42.7,0,103.2536,29.699,52.72,38.542,52.162,49.25,4.4104,7.5,41.35,18.593,7.2
21599,Hands,Armor,Mail,Vek'lor's Gloves of Devastation,81,60,Epic,https://tbc.wowhead.com/item=21599,NA,56.056,27.774,23.82,72.26,30.176,1.054,66.8,137.72,5.1,6.46,110.18,353.462,10.302,9.01,5.176,9.516,47.55,21.2166,8.5,4.93,54.273,8.16,21,17,22,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,365,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21605,Hands,Armor,Leather,Gloves of the Hidden Temple,81,60,Epic,https://tbc.wowhead.com/item=21605,NA,55.181,32.217,26.22,65.79,4.4,0,43.05,109.41,0,0,114.288,318.8609,0,0,0.418,1.474,39.982,25.5333,0,0,69.966,0,22,NULL,21,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,269,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21847,Hands,Armor,Cloth,Spellfire Gloves (Fire/Arcane),105,70,Epic,https://tbc.wowhead.com/item=21847,"Mage, Warlock, Druid",28.999,16,15.8,38.72,68.83,72.7485,29.1,28.75,39,85.6,70,117.6712,52.699,109.338,81.783,104.081,57.75,18.12,53.19,83.74,55.292,47.6,NULL,10,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Blue,NA,111,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21863,Hands,Armor,Cloth,Soulcloth Gloves,100,70,Epic,https://tbc.wowhead.com/item=21863,NA,52.664,16,15.8,38.72,72.399,19.796,29.1,50.77,42.6,26,70,180.4474,20.181,28.67,24.889,31.949,44.4,14.88,42.5,20.67,34.054,37.86,24,13,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Red,NA,106,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22421,Hands,Armor,Plate,Dreadnaught Gauntlets,88,60,Epic,https://tbc.wowhead.com/item=22421,Warrior,83.859,17,13.26,18.7,5.4,0,0,0,0,0,38.522,478.3719,0,0,0.513,1.809,79.498,12.5579,0,0,37.4,0,27,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,13,21,13,NA,NA,NA,702,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22426,Hands,Armor,Plate,Redemption Handguards,88,60,Epic,https://tbc.wowhead.com/item=22426,Paladin,53.888,0,0,0,92.072,1.364,0,0,43.6,13,0,418.6673,14.484,11.66,8.747,14.755,58,0,50,7.42,2.09,55.56,23,22,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,702,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22441,Hands,Armor,Mail,Cryptstalker Handguards,88,60,Epic,https://tbc.wowhead.com/item=22441,Hunter,60.822,38.256,31.7,91.12,37.548,0.93,86.5,138.46,6.5,8.02,121.18,377.9086,9.666,7.95,5.678,9.922,48.97,27.49,10.5,4.87,77.407,13.2,21,15,16,NULL,NULL,32,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,4,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,395,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
