1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
21332,Pants,Armor,Plate,Conqueror's Legguards,81,60,Epic,https://tbc.wowhead.com/item=21332,Warrior,103.996,54.017,43.42,106.49,4.8,0,58.05,124.41,0,0,170.818,708.6607,0,0,0.456,1.608,75.142,39.6138,0,0,119.806,0,24,NULL,21,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,909,NA,NA,NA,NA,Classic,NA,0,NA,NA,97.196,43.507,37.92,82.29,4.8,0,43.05,109.41,0,0,155.818,678.9087,0,0,0.456,1.608,74.142,36.6138,0,0,102.966,0
21336,Pants,Armor,Cloth,Doomcaller's Trousers,81,60,Epic,https://tbc.wowhead.com/item=21336,Warlock,33.482,0,0,0,72.121,38.991,0,0,9.9,54.58,0,143.6581,41.093,67.104,47.266,64.166,57.55,4.0528,19.42,51.88,21.791,20.76,28,24,NULL,NULL,9,NULL,NULL,34,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,123,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21346,Pants,Armor,Cloth,Enigma Leggings,81,60,Epic,https://tbc.wowhead.com/item=21346,Mage,26.482,0,0,0,84.995,39.005,0,0,12.7,57.9,0,123.1278,42.772,68.164,49.025,66.351,51.45,4.0528,24.17,53.11,21.93,29.22,21,26,NULL,NULL,8,NULL,NULL,34,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,5,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,123,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29774,Pants,Armor,Plate,Kirin'Var Defender's Chausses,111,0,Uncommon,https://tbc.wowhead.com/item=29774,NA,70.199,0,0,0,51.153,31.116,0,0,8.9,40.9,0,540.7698,28.626,45.84,34.973,48.235,99.45,3.576,14.25,36.13,15.63,19.14,27,18,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NA,NULL,NULL,19,NULL,NULL,NA,NA,NA,895,NA,NA,NA,NA,NA,The Sigil of Krasus,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29788,Pants,Armor,Mail,Finely Wrought Scale Leggings,111,0,Uncommon,https://tbc.wowhead.com/item=29788,NA,62.08,34.542,26.98,76,36.888,1.302,76,76,6.3,7.98,76,397.0399,12.726,11.13,6.357,11.625,53.31,23.2028,10.5,6.09,77.995,10.08,24,21,NULL,NULL,NULL,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,501,NA,NA,NA,NA,NA,Master Smith Rhonsus,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29928,Pants,Armor,Cloth,Wanderer's Stitched Trousers,81,0,Uncommon,https://tbc.wowhead.com/item=29928,NA,22.96,0,0,0,54.636,25.498,0,0,9.3,34.3,0,100.7521,27.361,37.9,26.814,37.522,39.6,2.7416,9.5,28.51,13.089,9.12,19,19,NULL,NULL,12,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,90,NA,NA,NA,NA,NA,Laying Waste to the Unwanted,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29930,Pants,Armor,Leather,Nature-Stitched Kilt,81,0,Uncommon,https://tbc.wowhead.com/item=29930,NA,26.568,0,0,0,54.636,25.498,0,0,9.3,34.3,0,141.7767,27.361,37.9,26.814,37.522,43.7,2.7416,9.5,28.51,13.089,9.12,19,19,NULL,NULL,12,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,172,NA,NA,NA,NA,NA,Laying Waste to the Unwanted,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29933,Pants,Armor,Mail,Arcane Ringed Greaves,81,0,Uncommon,https://tbc.wowhead.com/item=29933,NA,35.412,0,0,0,45.867,24.178,0,0,8.2,33.12,0,242.337,25.045,37.9,28.144,39.222,53.75,2.7416,13.25,29.16,12.477,16.62,19,19,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,373,NA,NA,NA,NA,NA,Mission: The Abyssal Shelf,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29936,Pants,Armor,Plate,Skyfire Greaves,81,0,Uncommon,https://tbc.wowhead.com/item=29936,NA,55.275,13,10.14,14.3,45.867,17.178,0,0,8.2,26.12,29.458,417.3823,21.146,29.43,21.718,30.948,63.712,11.5103,13.25,22.16,37.829,16.62,19,19,NULL,13,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,664,NA,NA,NA,NA,NA,Mission: The Abyssal Shelf,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
