1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2
19378,Back,Armor,Cloth,Cloak of the Brood Lord,83,60,Epic,https://tbc.wowhead.com/item=19378,NA,7.72,0,0,0,9.28,28.868,0,0,4.2,33.32,0,13.6321,39.998,41.3,29.54,30.24,33.6,7.8344,15.4,30.52,0,7.28,10,14,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,72,NA,NA,NA,NA,Classic,NA,0,NA,NA
21583,Back,Armor,Cloth,Cloak of Clarity,88,60,Epic,https://tbc.wowhead.com/item=21583,NA,4.96,0,0,0,27.31,1.514,0,0,25.15,11.58,0,11.4732,20.53,6.36,3.78,5.02,10.4,0.0528,61.9,2.16,0,62.24,6,12,NULL,NULL,7,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,76,NA,NA,NA,NA,Classic,NA,0,NA,NA
21710,Back,Armor,Cloth,Cloak of the Fallen God,88,60,Epic,https://tbc.wowhead.com/item=21710,NA,20.03,28.602,23.66,68.52,3,0,27.456,24.284,0,0,103.4018,44.93035,0,0,0,0,25.364,24.5248,0,0,67.24,0,15,NULL,26,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,76,NA,NA,NA,NA,Classic,Uylaru,0,NA,NA
22731,Back,Armor,Cloth,Cloak of the Devoured,88,60,Epic,https://tbc.wowhead.com/item=22731,NA,8.46,0,0,0,7.4,36.7736,0,0,3,43.4,0,14.67395,46.39,53.6,42.7,43.12,35.7,8.372,11,35.8,0,5.2,11,10,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,76,NA,NA,NA,NA,Classic,NA,0,NA,NA
22938,Back,Armor,Cloth,Cryptfiend Silk Cloak,83,60,Epic,https://tbc.wowhead.com/item=22938,NA,18.52,0,0,0,2.8,0,0,0,0,0,0,32.7749,0,0,0,0,30.4,0,0,0,0,0,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NA,NA,NA,212,NA,NA,NA,NA,Naxxramas,Anub'Rekhan,1,NA,NA
22960,Back,Armor,Cloth,Cloak of Suturing,83,60,Epic,https://tbc.wowhead.com/item=22960,NA,0.72,0,0,0,27.68,2.064,0,0,26.48,11.54,0,7.2306,21.806,6.36,3.62,4.62,4.8,0.0528,62.8,2.16,0,64.24,NULL,12,NULL,NULL,12,NULL,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,72,NA,NA,NA,NA,Naxxramas,Patchwerk,1,NA,NA
23017,Back,Armor,Cloth,Veil of Eclipse,83,60,Epic,https://tbc.wowhead.com/item=23017,NA,7.72,0,0,0,7.2,28.62,0,0,3,31.8,0,13.6321,36.426,39.18,29.1,29.6,33.2,7.8168,11,29.8,0,5.2,10,10,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,72,NA,NA,NA,NA,Naxxramas,Instructor Razuvious,1,NA,NA
23030,Back,Armor,Cloth,Cloak of the Scourge,83,60,Epic,https://tbc.wowhead.com/item=23030,NA,22.07,20.435,16.15,53.6,4.6,0,22.78,19.39,0,0,59.283,34.6453,0,0,0,0,27.1,22.125,0,0,43.4,0,23,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,72,NA,NA,NA,NA,Naxxramas,Noth the Plaguebringer,1,NA,NA
23045,Back,Armor,Cloth,Shroud of Dominion,90,60,Epic,https://tbc.wowhead.com/item=23045,NA,10.97,22.725,17.75,50,2.2,0,25.85,15.65,0,0,50,27.274375,0,0,0,0,16.75,15.025,0,0,50,0,11,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,77,NA,NA,NA,NA,Naxxramas,Sapphiron,1,NA,NA
