1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
19377,Neck,Armor,Amulet,Prestor's Talisman of Connivery,83,60,Epic,https://tbc.wowhead.com/item=19377,NA,28.927,33.724,27.81,100.95,0,0,88.25,167.25,0,0,130.6,145.762,0,0,0,0,9.82,24.2841,0,0,74.99,0,NULL,NULL,25,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,22.127,23.214,22.31,76.75,0,0,73.25,152.25,0,0,115.6,116.01,0,0,0,0,8.82,21.2841,0,0,58.15,0
19383,Neck,Armor,Amulet,Master Dragonslayer's Medallion,83,60,Epic,https://tbc.wowhead.com/item=19383,NA,33.724,9.478,8.12,30.66,4.8,0,28.7,72.94,0,0,43.96,130.3052,0,0,0.456,1.608,29.8,8.1578,0,0,20.244,0,24,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,10,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21608,Neck,Armor,Amulet,Amulet of Vek'nilash,81,60,Epic,https://tbc.wowhead.com/item=21608,NA,9.07,0,0,0,22.936,29.823,0,0,1.5,37.3,0,26.3961,23.403,48.564,35.14,45.556,27.5,3.2184,9.92,39.37,16.279,11.64,9,5,NULL,NULL,NULL,NULL,NULL,27,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21712,Neck,Armor,Amulet,Amulet of the Fallen God,88,60,Epic,https://tbc.wowhead.com/item=21712,NA,11,0,0,0,74.842,0,0,0,60,3.48,0,32.2619,0.864,0,1.805,2.777,9.9,0,61.5,0.78,0,66,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22732,Neck,Armor,Amulet,Mark of C'Thun,88,60,Epic,https://tbc.wowhead.com/item=22732,NA,25.764,0,0,0,4.8,0,0,0,0,0,0,84.0204,0,0,0.456,1.608,28.8,0,0,0,0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22935,Neck,Armor,Amulet,Touch of Frost,83,60,Epic,https://tbc.wowhead.com/item=22935,NA,20,0,0,0,4,0,0,0,0,0,0,58.658,0,0,0.38,1.34,18,0,0,0,0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22943,Neck,Armor,Amulet,Malice Stone Pendant,83,60,Epic,https://tbc.wowhead.com/item=22943,NA,9,0,0,0,14.024,28.496,0,0,2.4,31.04,0,26.3961,20.444,38.12,28.123,37.515,28.5,3.3376,4,30.32,13.752,3.84,9,8,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Grand Widow Faerlina,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22947,Neck,Armor,Amulet,Pendant of Forgotten Names,85,60,Epic,https://tbc.wowhead.com/item=22947,NA,0,0,0,0,78.459,3.096,0,0,14.3,17.02,0,0,16.47,9.54,6.92,10.966,1.8,0,14.25,6.13,2.628,19.14,NULL,18,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Maexxna,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22981,Neck,Armor,Amulet,Gluth's Missing Collar,83,60,Epic,https://tbc.wowhead.com/item=22981,NA,34.119,0,0,0,4.8,0,0,0,0,0,0,70.3896,0,0,0.456,1.608,34.92,0,0,0,0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,15,14,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Gluth,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
