1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROGOFF2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2,ROGOFF3,FURYOFF1,FURYOFF4
19360,Main Hand,Weapon,Mace,Lok'amir il Romathis,81,60,Epic,https://tbc.wowhead.com/item=19360,NA,116.8869,377.1,601.6,398.2,44.04,85.996,0,0,7.8,93.56,139.89153,305.41229,59.72,111.18,82.36,108.544,149.21,93.8128,9,89.22,347.1316,9.36,10,18,NULL,NULL,8,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,0,41.9,48,128,2.1,Classic,NA,0,NA,-197.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21839,Main Hand,Weapon,Mace,Scepter of the False Prophet,84,60,Epic,https://tbc.wowhead.com/item=21839,NA,115.6114,372.6,521.7,385.2,225.853,1.178,0,0,194.2,8.96,138.22218,302.11774,11.946,10.07,6.327,10.753,89.56,82.8,198.75,5.9,304.1906,201.38,10,19,NULL,NULL,NULL,NULL,NULL,NULL,187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.4,38,111,1.8,Classic,NA,0,NA,-154.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22736,Main Hand,Weapon,Sword,"Andonisus, Reaper of Souls",100,60,Legendary,https://tbc.wowhead.com/item=22736,NA,207.3963,731.7,1391.2,734.4,0,0,0,0,0,0,271.43631,535.69383,0,0,0,0,154.47,162.6,0,0,593.8152,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,81.3,159,296,2.8,Classic,NA,6,NA,-192.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22803,Main Hand,Weapon,Dagger,Midnight Haze,81,60,Epic,https://tbc.wowhead.com/item=22803,NA,126.3767,375.3,512.3,387.6,22.336,85.744,0,0,3.6,89.56,139.22379,333.42347,54.617,109.21,81.782,107.534,157.93,93.532,6,88.48,345.1568,6.24,20,12,NULL,NULL,NULL,NULL,NULL,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.7,41,109,1.8,Naxxramas,Grobbulus,1,NA,-153.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22807,Main Hand,Weapon,Sword,Wraith Blade,83,60,Epic,https://tbc.wowhead.com/item=22807,NA,115.7954,372.6,517,385.2,14.224,101.6496,0,0,2.4,107.64,138.22218,302.11774,59.715,131.19,101.248,129.096,154.96,94.124,4,100.04,354.8496,4.16,10,8,NULL,NULL,NULL,NULL,NULL,95,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.4,39,110,1.8,Naxxramas,Maexxna,1,NA,-154.08,115.7954,372.416,517,385.2,14.224,95.496,0,0,2.4,98.04,138.22218,302.11774,57.763,119.19,89.648,116.776,154.96,94.124,4,97.32,347.2256,4.16,-154.08,NULL,0
22942,Main Hand,Weapon,Mace,The Widow's Embrace,81,60,Epic,https://tbc.wowhead.com/item=22942,NA,118.6318,376.2,545.2,391.4,207.174,2.284,0,0,168.8,9.32,139.55766,310.61918,10.814,6.36,3.6,6.528,91.42,83.6,167,3.48,307.1612,167.24,12,12,NULL,NULL,14,NULL,NULL,NULL,161,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.8,43,116,1.9,Naxxramas,Grand Widow Faerlina,1,NA,-167.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22988,Main Hand,Weapon,Mace,The End of Dreams,83,60,Epic,https://tbc.wowhead.com/item=22988,Druid,213.7317,585.5535,756.935,829.6,22.464,95.806,423,423,3.9,99.94,568.90119,749.07137,60.793,121.84,91.11,119.362,187.91,227.8659,6.5,98.77,787.4998,6.76,13,13,NULL,NULL,NULL,423,NULL,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,43.7,45,121,1.9,Naxxramas,Grobbulus,1,NA,260.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23056,Main Hand,Weapon,Mace,Hammer of the Twisting Nether,89,60,Epic,https://tbc.wowhead.com/item=23056,NA,114.1216,374.4,568.7,389.8,277.264,0.682,0,0,245.3,8.82,138.88992,297.56976,7.818,5.83,5.371,8.503,87.34,83.2,249.5,4.23,304.8914,255.72,8,11,NULL,NULL,NULL,NULL,NULL,NULL,238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.6,37,121,1.9,Naxxramas,Kel'Thuzad,1,NA,-168.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23554,Main Hand,Weapon,Dagger,Eternium Runed Blade,105,70,Epic,https://tbc.wowhead.com/item=23554,NA,106.7368,376.2,535.8,385.4,49.276,172.9475,0,0,5.7,187.82,139.55766,275.42438,113.091,233.216,172.73,223.62,198.92,103.6256,20.63,189.89,389.9782,25.21,NULL,19,NULL,NULL,NULL,NULL,NULL,168,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.8,28,114,1.7,Blacksmithing,Crafted,1,NA,-137.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
