Import values for the addon PAWN,...2,...3,...4,...5
https://www.curseforge.com/wow/addons/pawn,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,How to use Pawn scale tags
NA,NA,NA,NA,Each scale includes a Pawn scale tag that you can use to automatically add the scale to Pawn for your character. To use a scale tag:
NA,NA,NA,NA,"Highlight the cell you wish to import, and then press Ctrl+C to copy it."
NA,NA,NA,NA,"In World of Warcraft, type /pawn in the chat window to open the Pawn configuration UI."
NA,NA,NA,NA,Click the [Import] button.
NA,NA,NA,NA,A window will appear. Press Ctrl+V to paste the scale tag into it.
NA,NA,NA,NA,Click [OK].
NA,NA,NA,NA,Hover over an item or click an item link to see the new scale tag in action!
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
Mage,NA,NA,NA,NA
Arcane,"( Pawn: v1: ""Mage Arcane"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Fire,"( Pawn: v1: ""Mage Fire"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
