1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
22810,Ranged,Weapon,Gun,Toxin Injector,81,60,Epic,https://tbc.wowhead.com/item=22810,NA,15.908,12.726,9.94,28,2,0,469,469,0,0,28,57.329,0,0,0.19,0.67,10.68,8.5484,0,0,28,0,10,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,58.8,82,153,2,Naxxramas,Grobbulus,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22811,Ranged,Weapon,Bow,Soulstring,83,60,Epic,https://tbc.wowhead.com/item=22811,NA,16.25,20.152,16.74,40.08,1.2,0,492.95,494.35,0,0,44,60.1302,0,0,0.114,0.402,8.46,13.282,0,0,36.846,0,6,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,60.7,123,229,2.9,Naxxramas,Four Horsemen Chest,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22812,Ranged,Weapon,Crossbow,Nerubian Slavemaker,89,60,Epic,https://tbc.wowhead.com/item=22812,NA,11.938,23.788,19.58,48.08,0,0,551.95,553.35,0,0,52,50.5328,0,0,0,0,3.54,15.7244,0,0,44.846,0,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,67.5,151,281,3.2,Naxxramas,Kel'Thuzad,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22820,Ranged,Weapon,Wand,Wand of Fates,83,60,Epic,https://tbc.wowhead.com/item=22820,NA,7.184,0,0,0,12.096,18.5876,596.925,852.75,2.1,24.26,0,20.5303,12.878,30.23,24.716,30.312,15.4,1.4304,3.5,16.75,13.857,3.36,7,7,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,113.7,119,222,1.5,Naxxramas,Patchwerk,1,NA,NA,7.184,-0.184,0,0,12.096,12.434,596.925,852.75,2.1,14.66,0,20.5303,10.926,18.23,13.116,17.992,15.4,1.4304,3.5,14.03,6.233,3.36
22821,Ranged,Weapon,Wand,Doomfinger,92,60,Epic,https://tbc.wowhead.com/item=22821,NA,0.07,0,0,0,13.496,18.513,729.75,1042.5,0,24.4,0,0,14.246,32.604,23.466,29.566,11.2,1.9072,7.42,26.92,10.7,9.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,139,146,271,1.5,Naxxramas,Kel'Thuzad,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23009,Ranged,Weapon,Wand,Wand of the Whispering Dead,83,60,Epic,https://tbc.wowhead.com/item=23009,NA,0,0,0,0,53.633,1.61,596.925,852.75,27.7,6.86,0,0,8.337,5.3,2.81,4.77,1,0,27,2.9,1.409,26.8,NULL,10,NULL,NULL,9,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,113.7,119,222,1.5,Naxxramas,Instructor Razuvious,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23051,Ranged,Weapon,Sword,Glaive of the Defender,86,60,Legendary,https://tbc.wowhead.com/item=23051,Warrior,34.648,20.124,16.32,39.48,3.6,0,422.025,630.27,0,0,64.872,132.386090909091,0,0,0.342,1.206,24.088,15.8568,0,0,43.752,0,18,NULL,12,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,80,75.7,138,210,2.3,Classic,NA,6,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23557,Ranged,Weapon,Gun,Larvae of the Great Worm,81,60,Epic,https://tbc.wowhead.com/item=23557,NA,10.672,21.061,17.45,42.08,0,0,479.95,481.35,0,0,46,44.5328,0,0,0,0,3.18,13.8926,0,0,38.846,0,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,58.7,123,229,3,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23747,Ranged,Weapon,Gun,Felsteel Boomstick,108,70,Rare,https://tbc.wowhead.com/item=23747,NA,18.383,11.96,10.27,22.36,2.4,0,485.9,487.2,0,0,26,59.8324,0,0,0.228,0.804,12.75,7.7974,0,0,19.357,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,62.1,104,194,2.4,Engineering,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
