1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
19379,Trinket,Armor,Trinket,Neltharion's Tear,83,60,Epic,https://tbc.wowhead.com/item=19379,NA,0.368,0,0,0,0,56.3072,0,0,0,63.2,0,0,28.412,77.24,63.592,76.648,30.8,5.2448,0,49.44,35.664,0,NULL,NULL,NULL,NA,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,NA,0.368,-0.368,0,0,0,44,0,0,0,44,0,0,24.508,53.24,40.392,52.008,30.8,5.2448,0,44,20.416,0
21579,Trinket,Armor,Trinket,Vanquished Tentacle of C'Thun,88,60,Epic,https://tbc.wowhead.com/item=21579,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,C'Thun,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22954,Trinket,Armor,Trinket,Kiss of the Spider,85,60,Epic,https://tbc.wowhead.com/item=22954,NA,30.209,33.18,37.06,101.53,0,0,77.325,88.725,0,0,88.35,95.1598,0,0,0,0,8.1,42.8857,0,0,83.786,0,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,14,NULL,25,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Maexxna,0,NA,NA,23.409,22.67,31.56,77.33,0,0,62.325,73.725,0,0,73.35,65.4078,0,0,0,0,7.1,27.8247,0,0,66.946,0
23001,Trinket,Armor,Trinket,Eye of Diminution,85,60,Epic,https://tbc.wowhead.com/item=23001,NA,0.14,0,0,0,26.992,5.026,0,0,0,16.8,0,0,10.668,26.488,17.556,21.308,0,0,14.84,21.84,6.552,18.48,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Thaddius,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23027,Trinket,Armor,Trinket,Warmth of Forgiveness,85,60,Epic,https://tbc.wowhead.com/item=23027,NA,0,0,0,0,62.568,0,0,0,12,13.92,0,0,3.456,0,6.384,8.16,0,0,18,3.12,0,36,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Four Horsemen,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23040,Trinket,Armor,Trinket,Glyph of Deflection,90,60,Epic,https://tbc.wowhead.com/item=23040,NA,41.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.16,0,0,0,0,0,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,12,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Sapphiron,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23041,Trinket,Armor,Trinket,Slayer's Crest,90,60,Epic,https://tbc.wowhead.com/item=23041,NA,22.577,48.6315,37.985,107,0,0,107,107,0,0,107,107,0,0,0,0,6.42,32.6671,0,0,107,0,NULL,NULL,NULL,NA,NULL,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Sapphiron,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23042,Trinket,Armor,Trinket,Loatheb's Reflection,85,60,Epic,https://tbc.wowhead.com/item=23042,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Loatheb,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23046,Trinket,Armor,Trinket,The Restrained Essence of Sapphiron,90,60,Epic,https://tbc.wowhead.com/item=23046,NA,0,0,0,0,0,62,0,0,0,62,0,0,34.534,75.02,56.916,73.284,43.4,7.3904,0,62,28.768,0,NULL,NULL,NULL,NA,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Sapphiron,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23047,Trinket,Armor,Trinket,Eye of the Dead,90,60,Epic,https://tbc.wowhead.com/item=23047,NA,0,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,0,0,90,0,0,90,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Sapphiron,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23206,Trinket,Armor,Trinket,Mark of the Champion (undead/demon),90,0,Epic,https://tbc.wowhead.com/item=23206,NA,31.65,68.175,53.25,150,0,0,150,150,0,0,150,150,0,0,0,0,9,45.795,0,0,150,0,NULL,NULL,NULL,NA,NULL,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,The Fall of Kel'Thuzad,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23207,Trinket,Armor,Trinket,Mark of the Champion (undead/demon),90,0,Epic,https://tbc.wowhead.com/item=23207,NA,0,0,0,0,0,85,0,0,0,85,0,0,47.345,102.85,78.03,100.47,59.5,10.132,0,85,39.44,0,NULL,NULL,NULL,NA,NULL,NULL,NULL,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,The Fall of Kel'Thuzad,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29776,Trinket,Armor,Trinket,Core of Ar'kelos,108,0,Uncommon,https://tbc.wowhead.com/item=29776,NA,10.972,23.634,18.46,52,0,0,52,52,0,0,52,52,0,0,0,0,3.12,15.8756,0,0,52,0,NULL,NULL,NULL,NA,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,0,NA,NA,NA,NA,NA,Ar'kelos the Guardian,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30293,Trinket,Armor,Trinket,Heavenly Inspiration,111,0,Uncommon,https://tbc.wowhead.com/item=30293,NA,0,0,0,0,65.74,0,0,0,44.67,5.8,0,0,1.44,0,2.66,3.4,0,0,47.17,1.3,0,54.67,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,39.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,0,NA,NA,NA,NA,NA,Success!,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30340,Trinket,Armor,Trinket,Starkiller's Bauble,114,0,Uncommon,https://tbc.wowhead.com/item=30340,NA,0.598,0,0,0,0,40.8292,0,0,0,52.03,0,0,17.94631,64.2043,56.82194,64.66106,14.581,2.482936,0,29.67,34.44312,0,NULL,NULL,NULL,NA,NULL,NULL,NULL,20.83,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,0,NA,NA,NA,NA,NA,The Horrors of Pollution,0,NA,NA,0.598,-0.598,0,0,0,20.83,0,0,0,20.83,0,0,11.60231,25.2043,19.12194,24.62106,14.581,2.482936,0,20.83,9.66512,0
31615,Trinket,Armor,Trinket,Ancient Draenei Arcane Relic,102,0,Uncommon,https://tbc.wowhead.com/item=31615,NA,0.105,0,0,0,56.914,23.7695,0,0,36.67,32.6,0,0,19.141,44.066,31.527,39.621,14,2.384,47.8,36.38,14.194,50.53,NULL,NULL,NULL,NA,NULL,NULL,NULL,20,36.67,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,0,NA,NA,NA,NA,NA,The Vengeful Harbinger,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25634,Trinket,Armor,Trinket,Oshu'gun Relic,105,65,Uncommon,https://tbc.wowhead.com/item=25634/oshugun-relic,NA,0,0,0,0,88.5,29.83,0,0,88.5,29.83,0,0,16.61531,36.0943,27.38394,35.25906,20.881,3.555736,88.5,29.83,13.84112,88.5,NULL,NULL,NULL,NA,NULL,NULL,NULL,29.83,88.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Nagrand,Gava'xi,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31617,Trinket,Armor,Trinket,Ancient Draenei War Talisman,102,0,Uncommon,https://tbc.wowhead.com/item=31617,NA,17.34363,34.468485,28.42215,69.45,0,0,65.88,67.98,0,0,75.33,73.1292,0,0,0,0,5.1498,22.771449,0,0,64.599,0,NULL,NULL,NULL,NA,NULL,33.33,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,0,NA,NA,NA,NA,NA,The Vengeful Harbinger,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23558,Trinket,Armor,Trinket,The Burrower's Shell,81,60,Epic,https://tbc.wowhead.com/item=23558,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Temple of Ahn'Qiraj,Ouro,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23570,Trinket,Armor,Trinket,Jom Gabbar,81,60,Epic,https://tbc.wowhead.com/item=23570,NA,12.66,27.27,21.3,60,0,0,60,60,0,0,60,60,0,0,0,0,3.6,18.318,0,0,60,0,NULL,NULL,NULL,NA,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Temple of Ahn'Qiraj,Ouro,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24124,Trinket,Armor,Trinket,Figurine - Felsteel Boar,115,70,Rare,https://tbc.wowhead.com/item=24124,NA,14.348,30.906,24.14,68,0,0,68,68,0,0,68,68,0,0,0,0,4.08,20.7604,0,0,68,0,NULL,NULL,NULL,NA,NULL,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Jewelcrafting,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
