1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
19356,Two-Hand,Weapon,Staff,Staff of the Shadow Flame,81,60,Epic,https://tbc.wowhead.com/item=19356,NA,218.7027,487.2,286.23,583.2,108.81,92.804,0,0,14.1,117.94,231.203805,471.66579,79.584,143.498,103.273,136.037,199.01,131.8128,29.34,114.25,494.0146,32.4,24,29,NULL,NULL,18,NULL,NULL,84,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,0,60.9,142,248,3.2,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19364,Two-Hand,Weapon,Sword,"Ashkandi, Greatsword of the Brotherhood",81,60,Epic,https://tbc.wowhead.com/item=19364,NA,315.5177,694.287,415.46,846.2,6.6,0,86,86,0,0,396.929255,722.43299,0,0,0.627,2.211,190.47,190.0558,0,0,684.1976,0,33,NULL,NULL,NULL,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,0,81.9,229,344,3.5,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21134,Two-Hand,Weapon,Axe,Dark Edge of Insanity,84,60,Epic,https://tbc.wowhead.com/item=21134,NA,331.2558,740.663,445.34,877.91,5,0,38.95,98.99,0,0,467.74257,794.69616,0,0,0.475,1.675,193.58,210.1258,0,0,737.0004,0,25,NULL,19,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,86.6,242,364,3.5,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21679,Two-Hand,Weapon,Sword,Kalimdor's Revenge,81,60,Epic,https://tbc.wowhead.com/item=21679,NA,279.6777,679.2,403.65,777.6,3.6,0,0,0,0,0,365.313255,646.82349,0,0,0.342,1.206,172.386,181.5288,0,0,650.9976,0,18,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,81.9,209,315,3.2,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22589,Two-Hand,Weapon,Staff,"Atiesh, Greatstaff of the Guardian",90,60,Legendary,https://tbc.wowhead.com/item=22589,Mage,242.2329,514.4,302.21,601.4,125.696,171.9572,0,0,16.8,206.32,244.111735,514.59903,123.586,248.948,188.037,240.589,258.27,146.48,30.84,186.56,565.3112,33.84,31,32,NULL,NULL,24,NULL,NULL,150,NULL,NULL,28,NULL,NULL,NULL,16,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,64.3,130,243,2.9,Classic,NA,0,NA,NA,242.2329,514.4,302.21,601.4,125.696,159.65,0,0,16.8,187.12,244.111735,514.59903,119.682,224.948,164.837,215.949,258.27,146.48,30.84,181.12,550.0632,33.84
22630,Two-Hand,Weapon,Staff,"Atiesh, Greatstaff of the Guardian",90,60,Legendary,https://tbc.wowhead.com/item=22630,Warlock,240.2329,514.4,302.21,601.4,77.304,189.824,0,0,8.7,210.82,244.111735,511.66613,130.173,263.288,194.269,253.457,280.17,150.4136,29.34,213.25,563.8662,32.4,30,29,NULL,NULL,NULL,NULL,NULL,183,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,64.3,130,243,2.9,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22631,Two-Hand,Weapon,Staff,"Atiesh, Greatstaff of the Guardian",90,60,Legendary,https://tbc.wowhead.com/item=22631,Priest,236.2329,514.4,302.21,601.4,459.443,124.706,0,0,378.5,139.82,244.111735,505.80033,90.639,160.04,118.56,157.072,234.17,142.904,376,128.12,529.3642,375.44,28,28,NULL,NULL,27,NULL,NULL,120,362,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,64.3,130,243,2.9,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22632,Two-Hand,Weapon,Staff,"Atiesh, Greatstaff of the Guardian",90,60,Legendary,https://tbc.wowhead.com/item=22632,Druid,373.5769,783.464,512.37,1193.4,426.12,104.706,592,592,322,126.2,836.111735,1097.80033,81.083,135.84,103.126,137.172,255.69,321.2576,322.25,109.55,1112.0842,329.94,28,28,NULL,NULL,27,592,NULL,100,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NULL,64.3,130,243,2.9,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29109,Two-Hand,Weapon,Staff,Rod of the Unyielding,87,0,Uncommon,https://tbc.wowhead.com/item=29109,NA,224.25422,485.92,285.478,566.92,49.292,25.1675,0,0,5.4,38.04,230.596373,479.410234,29.082,51.032,35.508,48.154,156.206,123.9832,18.01,39.48,459.07696,19.86,27,18,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,0,60.74,131,197,2.7,NA,Honor the Fallen,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
