1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
19380,Waist,Armor,Mail,Therazane's Link,83,60,Epic,https://tbc.wowhead.com/item=19380,NA,71.778,32.878,26.68,68.08,44.54,2.064,65.7,67.1,7.2,8.64,72,303.1574,10.308,6.36,2.52,3.96,42.54,21.8304,6,2.28,66.598,5.76,22,12,NULL,NULL,12,44,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,336,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21582,Waist,Armor,Cloth,Grasp of the Old God,88,60,Epic,https://tbc.wowhead.com/item=21582,NA,32.805,0,0,0,109.281,1.178,0,0,68.2,11.28,0,86.519,12.522,10.07,3.63,6.07,19.65,0,73.75,3.61,1.805,78.62,15,19,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,85,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21586,Waist,Armor,Leather,Belt of Never-ending Agony,88,60,Epic,https://tbc.wowhead.com/item=21586,NA,66.676,41.968,33.78,88.08,4,0,85.7,87.1,0,0,92,230.2394,0,0,0,0,32.04,27.9364,0,0,84.846,0,20,NULL,NULL,NULL,NULL,64,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,162,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21598,Waist,Armor,Plate,Royal Qiraji Belt,81,60,Epic,https://tbc.wowhead.com/item=21598,NA,83.188,21.801,17.68,42.77,4.4,0,26.65,67.73,0,0,70.278,435.0422,0,0,0,0,53.212,17.1782,0,0,47.398,0,22,NULL,13,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,584,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21606,Waist,Armor,Plate,Belt of the Fallen Emperor,81,60,Epic,https://tbc.wowhead.com/item=21606,NA,75.54,25.801,20.8,47.17,65.904,1.116,26.65,67.73,40.4,6.84,79.342,429.4417,10.908,9.54,1.98,3.96,50.608,20.133,44,3.42,57.908,43.64,17,18,13,17,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,584,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21607,Waist,Armor,Mail,Grasp of the Fallen Emperor,81,60,Epic,https://tbc.wowhead.com/item=21607,NA,63.829,21.124,17.1,40.58,42.411,20.054,24.6,62.52,7.6,28.36,67.138,289.0408,21.605,32,21.97,24.09,50.662,18.8603,12.25,22.23,56.383,15.66,17,17,12,13,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,329,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21609,Waist,Armor,Leather,Regenerating Belt of Vek'nilash,81,60,Epic,https://tbc.wowhead.com/item=21609,NA,37.016,0,0,0,109.325,2.546,0,0,64.3,11.26,0,122.972,14.197,9.54,3.28,5.39,23.8,0,64,3.42,2.373,63.64,16,18,NULL,NULL,13,NULL,NULL,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,152,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21846,Waist,Armor,Cloth,Spellfire Belt (Fire/Arcane),105,70,Epic,https://tbc.wowhead.com/item=21846,"Mage, Warlock, Druid",51.3,16,15.8,38.72,76.234,72.347,29.1,28.75,41.4,85.64,50.24,112.1679,55.642,108.848,77.36,86.9,58,18.12,54.54,80.28,54.882,48.14,NULL,18,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Blue,NA,100,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21873,Waist,Armor,Cloth,Primal Mooncloth Belt,115,70,Epic,https://tbc.wowhead.com/item=21873,NA,51.597,16,15.8,38.72,171.557,19.954,29.1,28.75,127.9,30.94,50.24,116.6706,21.233,28.14,22.18,26.17,22.85,12.16,129,16.72,27.461,126.38,NULL,12,NULL,NULL,11,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Blue,NA,109,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
