Latest Changes:,...2,...3
2021,NA,NA
NA,2021-03-10,initial release
NA,2021-03-17,update mage/warlock epv
NA,NA,add mage ranged section
NA,NA,updated rogue values
NA,NA,updated enh values
NA,NA,updated ret values
NA,NA,updated ele values
NA,NA,updated resto sham values
NA,2021-03-18,updated bear values
NA,NA,added pawn addon tab
NA,NA,cleaned up epv tab
NA,NA,item phase adjustment
NA,NA,reworked hunter formula for ranged weapons
NA,2021-03-22,added all green items
NA,2021-03-24,updated fury t4/5 values (easy values)
NA,2021-03-25,switched to wowhead links
NA,2021-03-30,added Torgos! quest rewards
NA,2021-04-04,updated ret values
NA,2021-04-05,updated shroud
NA,NA,changed destro ranged formula
NA,2021-04-06,changed shadow ranged formula
NA,NA,changed tsunami tal ap formula
NA,NA,changed dragonspine haste formula
NA,2021-04-07,added value to braided eternium chain
NA,2021-04-15,added wrath items
NA,2021-04-25,added p5 sheet
NA,2021-04-27,added analytics for click count
NA,2021-05-02,major tank item updates
NA,2021-05-06,enh weapon filter
NA,2021-05-07,updated cat epv
NA,2021-05-09,fixed spell haste display on healers (thanks stanislaw!)
NA,2021-05-19,updated BM epv to match hunter discord
NA,2021-06-07,added spellstone/firestone
NA,NA,updated prot paladin values
NA,2021-06-14,updated remaining gem values
NA,NA,updated resto sham values
NA,2021-06-16,added hit cap column to some classes (thank you Zed for the suggestion!)
